A photlam/acrsec^2
3200.0 0.0
3499.9 0.0
3501.7000000000003 6.505999999999999e-06
3504.3 6.504e-06
3507.0 6.501e-06
3509.6 6.499e-06
3512.3 6.495999999999999e-06
3514.9 6.494e-06
3517.6 6.492e-06
3520.2 6.489e-06
3522.9 6.487000000000001e-06
3525.5 6.485e-06
3528.2 6.482e-06
3530.7999999999997 6.48e-06
3533.5 6.4780000000000005e-06
3536.2 6.475e-06
3538.8 6.473e-06
3541.5 6.471e-06
3544.1000000000004 6.468000000000001e-06
3546.8 6.466e-06
3549.4 6.4639999999999994e-06
3552.1 6.4610000000000005e-06
3554.7000000000003 6.459e-06
3557.4 6.457e-06
3560.0 6.4539999999999995e-06
3562.7 6.452e-06
3565.2999999999997 6.4490000000000004e-06
3568.0 6.447e-06
3570.7 6.444999999999999e-06
3573.2999999999997 6.442e-06
3576.0 6.44e-06
3578.6000000000004 6.438e-06
3581.3 6.434999999999999e-06
3583.8999999999996 6.433e-06
3586.6000000000004 6.431e-06
3589.2000000000003 6.428e-06
3591.9 6.425999999999999e-06
3594.5 6.424e-06
3597.2000000000003 6.421e-06
3599.8 6.419e-06
3602.5 6.4170000000000006e-06
3605.1 6.414e-06
3607.7999999999997 6.412e-06
3610.5 6.4100000000000005e-06
3613.1 6.407000000000001e-06
3615.7999999999997 6.405e-06
3618.3999999999996 6.402e-06
3621.1000000000004 6.4e-06
3623.7 6.398e-06
3626.3999999999996 6.395e-06
3629.0 6.393e-06
3631.7000000000003 6.391e-06
3634.3 6.3880000000000005e-06
3637.0 6.3859999999999995e-06
3639.6 6.383999999999999e-06
3642.3 6.381e-06
3644.9 6.379e-06
3647.6 6.377e-06
3650.2999999999997 6.3739999999999995e-06
3652.9 6.372e-06
3655.6 6.37e-06
3658.2 6.367e-06
3660.8999999999996 6.364999999999999e-06
3663.5 6.363e-06
3666.2 6.36e-06
3668.8 6.358e-06
3671.5 6.356000000000001e-06
3674.1000000000004 6.353e-06
3676.8 6.351e-06
3679.4 6.348e-06
3682.1 6.346000000000001e-06
3684.7000000000003 6.344e-06
3687.4 6.341e-06
3690.1 6.339e-06
3692.7 6.3370000000000005e-06
3695.4 6.334e-06
3698.0 6.332e-06
3700.7 6.33e-06
3703.2999999999997 6.327000000000001e-06
3706.0 6.325e-06
3708.6000000000004 6.3229999999999994e-06
3711.3 6.3200000000000005e-06
3713.8999999999996 6.318e-06
3716.6000000000004 6.316e-06
3719.2000000000003 6.3129999999999995e-06
3721.9 6.311e-06
3724.5 6.309e-06
3727.2000000000003 6.306e-06
3729.9 6.303999999999999e-06
3732.5 6.301e-06
3735.2 6.299e-06
3737.7999999999997 6.297e-06
3740.5 6.293999999999999e-06
3743.1 6.292e-06
3745.7999999999997 6.29e-06
3748.3999999999996 6.287e-06
3751.1000000000004 6.284999999999999e-06
3753.7 6.283e-06
3756.3999999999996 6.28e-06
3759.0 6.278e-06
3761.7000000000003 6.2760000000000006e-06
3764.3 6.273e-06
3767.0 6.271e-06
3769.7000000000003 6.2690000000000005e-06
3772.3 6.266000000000001e-06
3775.0 6.264e-06
3777.6 6.2619999999999995e-06
3780.2999999999997 6.259e-06
3782.9 6.257e-06
3785.6 6.254e-06
3788.2 6.252e-06
3790.8999999999996 6.25e-06
3793.5 6.2470000000000005e-06
3796.2 6.245e-06
3798.8 6.242999999999999e-06
3801.5 6.24e-06
3804.1000000000004 6.238e-06
3806.8 6.236e-06
3809.5 6.2329999999999994e-06
3812.1 6.231e-06
3814.8 6.229e-06
3817.4 6.226e-06
3820.1 6.223999999999999e-06
3822.7 6.222e-06
3825.4 6.219e-06
3828.0 6.217e-06
3830.7 6.215000000000001e-06
3833.2999999999997 6.212e-06
3836.0 6.21e-06
3838.6000000000004 6.207e-06
3841.3 6.205000000000001e-06
3844.0 6.203e-06
3846.6000000000004 6.2e-06
